,Molecule ChEMBL ID,Canomial_smiles,pChEMBL Value
48,CHEMBL241924,CC1CCC(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)N1C,6.16
49,CHEMBL390027,C[C@H]1C[C@@H](c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)N(C)C1,8.0
50,CHEMBL242561,CN1C[C@@H](NS(C)(=O)=O)C[C@H]1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.52
51,CHEMBL388908,CN1C[C@@H](F)C[C@H]1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.7
52,CHEMBL394610,CN1CCOCC1c1nc(C(=O)NCc2ccc(F)c(Cl)c2)c(O)c(=O)n1C,7.55
53,CHEMBL244236,Cc1cc(CNC(=O)c2nc(C3COCCN3C)n(C)c(=O)c2O)ccc1F,7.07
54,CHEMBL390225,C[C@@H]1C[C@@H](c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)N(C)C1,6.72
55,CHEMBL242139,CC(=O)N1CCN(C)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,5.4
56,CHEMBL394353,CN1CCOCC1c1nc(C(=O)NCc2ccc(F)c(F)c2)c(O)c(=O)n1C,7.68
57,CHEMBL243365,CN1CCN(S(=O)(=O)N(C)C)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,8.1
58,CHEMBL244235,COc1cccc(CNC(=O)c2nc(C3COCCN3C)n(C)c(=O)c2O)c1,6.85
59,CHEMBL389829,CC(=O)N1CCOCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.82
60,CHEMBL394781,CCNC(=O)N1CCN(C)C(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)C1,7.28
61,CHEMBL394536,CCN1CCN(C)C(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)C1,6.6
62,CHEMBL244651,CN1CCOCC1c1nc(C(=O)NCc2cccc(F)c2)c(O)c(=O)n1C,7.21
63,CHEMBL428570,CN1CCOCC1c1nc(C(=O)NCc2ccccc2)c(O)c(=O)n1C,7.18
64,CHEMBL243377,Cn1c(C2COCCN2C(=O)OC(C)(C)C)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,7.7
65,CHEMBL244964,CN1CCC[C@H]1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,7.21
66,CHEMBL244754,CN1CCN(C)C(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)C1,7.0
67,CHEMBL389141,CN1CCOCC1c1nc(C(=O)NCc2ccccc2F)c(O)c(=O)n1C,6.76
